ZIP,Pipedrive.Contacts,ZIP.1,Number.of.Schools,HotSpot,lat,long
94545,6,94545,3,1,37.605905,-122.126873
94546,5,94546,1,1,37.717276,-122.081958
94549,1,94549,1,0,37.897009,-122.114292
94550,1,94550,1,0,37.519983,-121.575595
94553,5,94553,2,1,37.993879,-122.136432
94556,2,94556,1,0,37.840652,-122.114913
94558,3,94558,2,1,38.441977,-122.238331
94559,1,94559,1,0,38.233115,-122.309635
94560,3,94560,1,1,37.504514,-122.032916
94563,1,94563,1,0,37.87992,-122.184572
94566,5,94566,2,1,37.648451,-121.849973
94568,9,94568,2,1,37.715248,-121.914693
94574,1,94574,1,0,38.527705,-122.437122
94579,5,94579,1,1,37.686499,-122.157227
94580,1,94580,1,0,37.675731,-122.133017
94582,5,94582,2,1,37.762738,-121.916089
94583,2,94583,2,0,37.75512,-121.972699
94587,2,94587,1,0,37.603155,-122.018639
94588,5,94588,1,1,37.842363,-121.877264
94598,3,94598,1,1,37.899936,-121.999244
94601,6,94601,4,1,37.775545,-122.218705
94603,1,94603,1,0,37.736535,-122.17944
94606,2,94606,2,0,37.791887,-122.245334
94607,3,94607,1,1,37.807215,-122.301497
94608,2,94608,1,0,37.836844,-122.289143
94610,2,94610,1,0,37.811406,-122.242458
94611,3,94611,3,1,37.82935,-122.203507
94612,6,94612,3,1,37.808772,-122.269165
94619,1,94619,1,0,37.79045,-122.140809
94621,4,94621,1,1,37.748272,-122.216828
94703,1,94703,1,0,37.863903,-122.275642
94704,5,94704,2,1,37.866528,-122.258039
94706,2,94706,1,0,37.889704,-122.295531
94710,1,94710,1,0,37.863914,-122.306465
94803,2,94803,1,0,37.959549,-122.283578
94804,1,94804,1,0,37.916555,-122.341233
94901,4,94901,1,1,37.978138,-122.497611
94903,3,94903,1,1,38.022366,-122.555605
94939,2,94939,1,0,37.937555,-122.533519
94941,3,94941,2,1,37.897665,-122.563172
94947,1,94947,1,0,38.112167,-122.634384
94952,1,94952,1,0,38.234553,-122.760385
94954,4,94954,1,1,38.235014,-122.557332
94960,3,94960,1,1,37.995859,-122.577811
94971,1,94971,1,0,38.231547,-122.928226
95003,2,95003,1,0,37.0067,-121.878207
95012,2,95012,1,0,36.784482,-121.759054
95020,8,95020,4,1,37.018419,-121.554249
95030,2,95030,1,0,37.222759,-121.983272
95035,2,95035,1,0,37.444349,-121.868859
95037,2,95037,2,0,37.174063,-121.598747
95045,1,95045,1,0,36.825801,-121.518613
95051,7,95051,2,1,37.348639,-121.984373
95062,1,95062,1,0,36.970525,-121.987488
95066,2,95066,1,0,37.067919,-122.013991
95076,1,95076,1,0,36.946256,-121.756479
95110,5,95110,2,1,37.346513,-121.909803
95116,3,95116,1,1,37.350421,-121.852585
95118,2,95118,2,0,37.25552,-121.889995
95121,6,95121,1,1,37.304149,-121.809867
95122,4,95122,1,1,37.328683,-121.835268
95123,9,95123,2,1,37.244238,-121.831604
95125,1,95125,1,0,37.295056,-121.89144
95126,3,95126,2,1,37.326794,-121.916744
95127,3,95127,2,1,37.371091,-121.800752
95128,1,95128,1,0,37.315977,-121.936319
95132,2,95132,1,0,37.424565,-121.748597
95133,11,95133,5,1,37.371606,-121.860844
95151,3,95151,1,1,37.335987,-121.777603
95173,1,95173,1,0,37.335987,-121.777603
95204,1,95204,1,0,37.973736,-121.319246
95206,2,95206,2,0,37.918854,-121.417427
95207,1,95207,1,0,38.002125,-121.324979
95209,1,95209,1,0,38.046863,-121.352802
95210,1,95210,1,0,38.030177,-121.297912
95212,2,95212,1,0,38.049939,-121.23297
95215,1,95215,1,0,37.949411,-121.15705
95221,2,95221,1,0,38.200231,-121.235031
95236,2,95236,1,0,38.02973,-121.02389
95240,2,95240,2,0,38.114388,-121.144658
95301,17,95301,1,1,37.321233,-120.654395
95307,3,95307,1,1,37.554313,-120.951376
95321,1,95321,1,0,37.86424,-120.004566
95324,3,95324,1,1,37.394536,-120.890747
95329,1,95329,1,0,37.666587,-120.411517
95330,1,95330,1,0,37.808513,-121.312879
95334,2,95334,1,0,37.347307,-120.742627
95340,1,95340,1,0,37.345776,-120.42415
95344,1,95344,1,0,37.231045,-120.501072
95350,1,95350,1,0,37.671908,-121.00732
95355,3,95355,3,1,37.672906,-120.946594
95360,1,95360,1,0,37.326007,-121.193665
95361,3,95361,1,1,37.787236,-120.759278
95367,2,95367,1,0,37.729282,-120.942905
95376,4,95376,1,1,37.737199,-121.433372
95377,1,95377,1,0,37.673998,-121.516858
95386,4,95386,1,1,37.669495,-120.622494
95388,1,95388,1,0,37.41467,-120.586787
95401,2,95401,1,0,38.449137,-122.793752
95407,5,95407,2,1,38.3933,-122.745048
95409,2,95409,1,0,38.468829,-122.580724
95425,1,95425,1,0,38.823058,-123.063891
95436,1,95436,1,0,38.486817,-122.90562
95437,1,95437,1,0,39.487185,-123.741963
95453,1,95453,1,0,39.045931,-122.941077
95461,2,95461,1,0,38.75273,-122.557206
95472,4,95472,2,1,38.398815,-122.861923
95476,3,95476,1,1,38.249428,-122.466627
95485,1,95485,1,0,39.225478,-122.922912
95490,1,95490,1,0,39.492842,-123.340973
95492,4,95492,1,1,38.528079,-122.821349
95519,1,95519,1,0,40.963005,-124.052501
95521,2,95521,2,0,40.855764,-124.067208
95531,5,95531,2,1,41.819578,-124.065667
95540,1,95540,1,0,40.578816,-124.136882
95553,1,95553,1,0,40.246155,-123.890255
95589,1,95589,1,0,40.05347,-123.972513
95603,2,95603,1,0,38.915869,-121.080284
95610,1,95610,1,0,38.694908,-121.271771
95616,1,95616,1,0,38.554133,-121.798467
95620,2,95620,1,0,38.412615,-121.756222
95621,2,95621,1,0,38.695705,-121.308299
95624,1,95624,1,0,38.427507,-121.314899
95627,1,95627,1,0,38.734513,-122.025346
95628,4,95628,2,1,38.652065,-121.25441
95630,7,95630,3,1,38.666597,-121.141635
95632,1,95632,1,0,38.274451,-121.259201
95642,2,95642,1,0,38.343033,-120.760921
95650,4,95650,1,1,38.809175,-121.171375
95660,2,95660,2,0,38.678545,-121.379969
95661,4,95661,1,1,38.741312,-121.24917
95670,2,95670,1,0,38.604268,-121.280327
95673,3,95673,1,1,38.689241,-121.459014
95678,5,95678,1,1,38.764021,-121.287505
95682,1,95682,1,0,38.612129,-120.964522
95685,1,95685,1,0,38.434485,-120.761687
